2014,40,29,40,55,44,36,16,48
2014,41,21,31,19,11,31,47,50
2014,42,24,35,30,33,24,29,35
2014,43,55,54,41,60,65,65,60
2014,44,57,32,57,23,75,49,25
2014,45,75,71,45,54,51,37,71
2014,46,53,65,81,74,70,45,70
2014,47,63,59,37,59,58,65,74
2014,48,66,63,68,61,66,71,66
2014,49,117,67,64,77,88,73,93
2014,50,75,64,69,72,77,80,70
2014,51,93,100,77,83,82,93,77
2014,52,77,64,82,87,98,62,81
2015,1,87,71,89,75,118,78,62
2015,2,72,81,70,74,68,76,75
2015,3,61,64,46,86,64,59,85
2015,4,69,90,84,49,66,87,86
2015,5,92,52,91,74,97,134,107
2015,6,97,96,107,101,71,63,88
2015,7,80,74,81,66,52,110,76
2015,8,124,69,76,96,65,78,69
2015,9,65,79,62,77,52,67,64
2015,10,117,102,144,90,52,83,83
2015,11,99,93,86,57,63,97,83
2015,12,79,35,59,74,77,40,71
2015,13,63,63,76,53,70,76,85
2015,14,32,59,52,73,72,82,67
2015,15,41,49,72,82,66,74,45
2015,16,39,83,59,91,41,26,47
2015,17,55,43,60,61,45,50,38
2015,18,57,22,68,65,41,68,66
2015,19,42,67,66,69,70,84,52
2015,20,69,55,76,69,61,68,59
2015,21,40,28,30,40,58,48,59
2015,22,32,41,78,44,51,63,63
2015,23,70,64,70,71,69,72,66
2015,24,84,72,59,55,34,49,46
2015,25,39,47,64,24,35,33,41
2015,26,41,43,24,24,26,15,16
2015,27,32,44,40,48,47,27,36
2015,28,47,39,37,51,21,32,37
2015,29,52,51,21,24,26,45,63
2015,30,37,39,33,17,21,33,19
2015,31,63,44,38,51,33,35,55
2015,32,58,32,37,64,38,28,23
2015,33,32,44,38,31,55,44,50
2015,34,37,12,51,45,67,26,69
2015,35,66,55,32,14,35,62,55
2015,36,48,37,76,49,28,53,79
2015,37,34,53,26,44,72,32,37
2015,38,60,37,71,48,49,37,28
2015,39,65,8,43,53,33,33,38
2015,40,35,46,59,57,35,21,57
2015,41,31,34,29,25,31,55,57
2015,42,35,36,37,41,23,30,34
2015,43,62,53,42,67,69,63,65
2015,44,56,45,66,36,85,59,35
2015,45,75,71,57,66,50,43,74
2015,46,53,61,77,73,73,55,74
2015,47,74,70,44,72,61,75,78
2015,48,42,64,68,65,75,73,69
2015,49,99,87,90,54,72,86,95
2015,50,79,81,97,81,92,81,77
2015,51,111,65,91,81,116,142,173
2015,52,142,73,78,85,107,74,107
2016,1,101,87,92,106,97,90,84
2016,2,91,102,84,101,89,94,132
2016,3,73,79,100,99,133,72,96
2016,4,103,99,102,90,85,89,77
2016,5,99,97,65,106,81,84,81
2016,6,101,158,112,123,80,71,89
2016,7,89,89,108,82,88,110,80
2016,8,119,64,82,97,79,76,82
2016,9,78,88,77,80,57,76,77
2016,10,112,104,132,102,59,87,86
2016,11,102,93,89,60,60,103,84
2016,12,87,41,62,72,74,51,67
2016,13,78,61,77,62,84,88,82
2016,14,36,71,60,83,70,82,62
