39,29,40,55,44,36,16,48
40,21,31,19,11,31,47,50
41,24,35,30,33,24,29,35
42,55,54,41,60,65,65,60
43,57,32,57,23,75,49,25
44,75,71,45,54,51,37,71
45,53,65,81,74,70,45,70
46,63,59,37,59,58,65,74
47,66,63,68,61,66,71,66
48,117,67,64,77,88,73,93
49,75,64,69,72,77,80,70
50,93,100,77,83,82,93,77
51,77,64,82,87,98,62,81
0,87,71,89,75,118,78,62
1,72,81,70,74,68,76,75
2,61,64,46,86,64,59,85
3,69,90,84,49,66,87,86
4,92,52,91,74,97,134,107
5,97,96,107,101,71,63,88
6,80,74,81,66,52,110,76
7,124,69,76,96,65,78,69
8,65,79,62,77,52,67,64
9,117,102,144,90,52,83,83
10,99,93,86,57,63,97,83
11,79,35,59,74,77,40,71
12,63,63,76,53,70,76,85
13,32,59,52,73,72,82,67
14,41,49,72,82,66,74,45
15,39,83,59,91,41,26,47
16,55,43,60,61,45,50,38
17,57,22,68,65,41,68,66
18,42,67,66,69,70,84,52
19,69,55,76,69,61,68,59
20,40,28,30,40,58,48,59
21,32,41,78,44,51,63,63
22,70,64,70,71,69,72,66
23,84,72,59,55,34,49,46
24,39,47,64,24,35,33,41
25,41,43,24,24,26,15,16
26,32,44,40,48,47,27,36
27,47,39,37,51,21,32,37
28,52,51,21,24,26,45,63
29,37,39,33,17,21,33,19
30,63,44,38,51,33,35,55
31,58,32,37,64,38,28,23
32,32,44,38,31,55,44,50
33,37,12,51,45,67,26,69
34,66,55,32,14,35,62,55
35,48,37,76,49,28,53,79
36,34,53,26,44,72,32,37
37,60,37,71,48,49,37,28
38,65,8,43,53,33,33,38
39,35,46,59,57,35,21,57
40,31,34,29,25,31,55,57
41,35,36,37,41,23,30,34
42,62,53,42,67,69,63,65
43,56,45,66,36,85,59,35
44,75,71,57,66,50,43,74
45,53,61,77,73,73,55,74
46,74,70,44,72,61,75,78
47,42,64,68,65,75,73,69
48,99,87,90,54,72,86,95
49,79,81,97,81,92,81,77
50,111,65,91,81,116,142,173
51,142,73,78,85,107,74,107
0,101,87,92,106,97,90,84
1,91,102,84,101,89,94,132
2,73,79,100,99,133,72,96
3,103,99,102,90,85,89,77
4,99,97,65,106,81,84,81
5,101,158,112,123,80,71,89
6,89,89,108,82,88,110,80
